Date,Demand,,max,min,avg
01/01/2016,1.8,,-1.7,-4,-2.9
01/02/2016,1.7,,-1.3,-4.9,-3.1
01/03/2016,2.4,,0,-15.4,-7.7
01/04/2016,8.7,,-14,-24.1,-19.1
01/05/2016,8.0,,,-25.3,
01/06/2016,5.6,,-0.6,-15.9,-8.3
01/07/2016,4.8,,1.7,-12.5,-5.4
01/08/2016,2.6,,,-8.7,
01/09/2016,2.7,,5.3,0.7,3
01/10/2016,2.3,,4.3,-7,-1.4
01/11/2016,7.1,,-6.6,-15.1,-10.9
01/12/2016,5.3,,-3.8,-14.4,-9.1
01/13/2016,4.8,,-8.3,-18.7,-13.5
01/14/2016,5.3,,-4.6,-10,-7.3
01/15/2016,3.1,,1.4,-5,-1.8
01/16/2016,2.1,,1.7,-9.7,-4
01/17/2016,1.0,,-3.8,-13.8,-8.8
01/18/2016,6.3,,-10.8,-20.9,-15.9
01/19/2016,6.2,,-5.3,-24,-14.7
01/20/2016,4.0,,-4.7,-12.8,-8.8
01/21/2016,3.4,,-5.3,-20,-12.7
01/22/2016,3.7,,-2.9,-20.9,-11.9
01/23/2016,3.2,,-6.9,-18.7,-12.8
01/24/2016,0.7,,-3.1,-19.2,-11.2
01/25/2016,4.0,,2,-4.7,-1.4
01/26/2016,2.9,,4.5,-2.3,1.1
01/27/2016,3.2,,-2,-7.3,-4.7
01/28/2016,3.1,,0.2,-3.5,-1.7
01/29/2016,3.2,,-1.3,-14.8,-8.1
01/30/2016,1.5,,3,-10.5,-3.8
01/31/2016,1.5,,7.4,-5.8,0.8
02/01/2016,2.6,,4.2,-0.7,1.8
02/02/2016,2.9,,0.1,-2.3,-1.1
02/03/2016,1.5,,12.6,-1.3,5.7
02/04/2016,2.5,,2.2,-5.1,-1.5
02/05/2016,2.6,,-0.2,-8,-4.1
02/06/2016,1.5,,0.6,-3.8,-1.6
02/07/2016,1.9,,2.6,-2.7,-0.1
02/08/2016,4.0,,1.4,-4.2,-1.4
02/09/2016,3.0,,-3.8,-6.3,-5.1
02/10/2016,2.9,,-4.9,-17,-11
02/11/2016,4.6,,-13.5,-21.2,-17.4
02/12/2016,5.0,,-6.5,-22.7,-14.6
02/13/2016,10.5,,-22.2,-30.3,-26.3
02/14/2016,6.6,,-14.6,-33.3,-24
02/15/2016,3.6,,-2.4,-16.6,-9.5
02/16/2016,5.8,,-1.9,-4.6,-3.3
02/17/2016,2.3,,-2.7,-16.1,-9.4
02/18/2016,3.6,,-5.5,-24.4,-15
02/19/2016,2.4,,4.6,-11.5,-3.5
02/20/2016,1.1,,5.6,1.8,3.7
02/21/2016,1.4,,2.4,-5.2,-1.4
02/22/2016,3.4,,-3.3,-10.3,-6.8
02/23/2016,2.9,,-0.3,-10.2,-5.3
02/24/2016,2.2,,0.1,-4.6,-2.3
02/25/2016,3.5,,-0.5,-11.4,-6
02/26/2016,3.1,,-6.9,-14.5,-10.7
02/27/2016,1.7,,3.7,-9.8,-3.1
02/28/2016,0.4,,10.1,-2.3,3.9
02/29/2016,4.6,,6.2,-11.2,-2.5
03/01/2016,3.4,,-10.2,-14.4,-12.3
03/02/2016,2.7,,-8.8,-21.5,-15.2
03/03/2016,3.9,,-7,-20.3,-13.7
03/04/2016,2.7,,-1.4,-16.2,-8.8
03/05/2016,1.5,,-0.6,-15.9,-8.3
03/06/2016,0.4,,1.5,-16.2,-7.4
03/07/2016,3.3,,,-1.1,
03/08/2016,2.1,,10.3,-0.8,4.8
03/09/2016,1.5,,15.9,4.8,10.4
03/10/2016,3.0,,7.1,0.1,3.6
03/11/2016,1.9,,5.5,-4,0.8
03/12/2016,0.4,,14.9,-4.7,5.1
03/13/2016,0.6,,7.8,1.6,4.7
03/14/2016,2.7,,7,1.1,4.1
03/15/2016,1.8,,8,3.1,5.6
03/16/2016,2.4,,7.7,2.1,4.9
03/17/2016,2.1,,6.2,-1.3,2.5
03/18/2016,1.9,,2.7,-5.2,-1.3
03/19/2016,1.9,,0.7,-8.5,-3.9
03/20/2016,2.7,,2,-7.6,-2.8
03/21/2016,1.5,,1.8,-6.1,-2.2
03/22/2016,2.9,,2.7,-6.6,-2
03/23/2016,1.1,,2.2,-2.1,0.1
03/24/2016,3.0,,-1,-4,-2.5
03/25/2016,3.3,,-0.5,-6.6,-3.6
03/26/2016,2.1,,0,-8.3,-4.2
03/27/2016,0.6,,12.1,-4.7,3.7
03/28/2016,2.3,,6.5,-0.4,3.1
03/29/2016,1.3,,3.4,-4.9,-0.8
03/30/2016,2.3,,11.2,-5.5,2.9
03/31/2016,0.4,,14,3.4,8.7
04/01/2016,2.5,,11.2,-1.7,4.8
04/02/2016,2.7,,1.9,-4.5,-1.3
04/03/2016,1.7,,,,
04/04/2016,1.9,,-2.8,-10,-6.4
04/05/2016,3.1,,-0.2,-15,-7.6
04/06/2016,1.7,,3.4,-3.5,-0.1
04/07/2016,3.3,,5.6,-4.4,0.6
04/08/2016,1.9,,-1.7,-7.5,-4.6
04/09/2016,1.8,,-2.5,-8.8,-5.7
04/10/2016,1.3,,-0.2,-9.5,-4.9
04/11/2016,2.3,,11.2,-1.8,4.7
04/12/2016,3.5,,4.2,-4.1,0.1
04/13/2016,2.7,,6.8,-5.7,0.6
04/14/2016,2.2,,10.2,-5.2,2.5
04/15/2016,2.8,,15.7,-3.1,6.3
04/16/2016,0.2,,19.8,0.7,10.3
04/17/2016,1.1,,22.2,0.9,11.6
04/18/2016,1.3,,24.9,2.2,13.6
04/19/2016,2.0,,14.7,2.3,8.5
04/20/2016,0.9,,16,-1.9,7.1
04/21/2016,1.4,,18.8,1.6,10.2
04/22/2016,0.9,,14.1,2.2,8.2
04/23/2016,0.8,,,-1.2,
04/24/2016,1.0,,8.8,1.1,5
04/25/2016,4.1,,4.1,0.4,2.3
04/26/2016,3.2,,8.4,,
